seq,rtt_us
0,45583
1,57970
2,57073
3,53338
4,53231
5,44240
6,58030
7,48234
8,48591
9,47866
10,45684
11,53097
12,66123
13,53029
14,45485
15,76292
16,56303
17,41999
18,67320
19,58460
20,44614
21,61235
22,49099
23,47585
24,73019
25,58969
26,55997
27,48425
28,44962
29,59956
30,54053
31,46328
32,89743
33,96443
34,76460
35,56467
36,58947
37,63530
38,60464
39,61437
40,54217
41,46705
42,55997
43,48680
44,48021
45,50633
46,47381
47,56536
48,61163
49,58149
50,55273
51,51537
52,42650
53,63231
54,61964
55,53639
56,60118
57,51348
58,45552
59,54495
60,58671
61,51905
62,48189
63,46733
64,46574
65,64661
66,57364
67,47319
68,46495
69,48385
70,47358
71,48302
72,46422
73,56952
74,46991
75,49145
76,47252
77,62178
78,50491
79,55996
80,48198
81,64068
82,61441
83,57097
84,47050
85,67418
86,71872
87,56886
88,45620
89,65412
90,54062
91,40299
92,65011
93,59194
94,50717
95,47329
96,48193
97,65814
98,59420
99,51165
100,55202
101,59278
102,58901
103,49907
104,52729
105,49262
106,47253
107,58907
108,60208
109,51152
110,53918
111,51590
112,53637
113,46925
114,57896
115,47480
116,57272
117,53308
118,49085
119,49948
120,48376
121,59987
122,48979
123,66805
124,62342
125,42349
126,61501
127,49492
128,46106
129,59323
130,55888
131,49243
132,46962
133,49437
134,47357
135,56040
136,47404
137,48465
138,46428
139,57065
140,58010
141,51779
142,59678
143,54136
144,48030
145,56074
146,61058
147,50468
148,64383
149,55398
150,51953
151,53978
152,62076
153,49867
154,60011
155,49357
156,54775
157,48151
158,71990
159,52014
160,58064
161,49643
162,48130
163,67852
164,47885
165,78773
166,63836
167,51506
168,45405
169,61158
170,84717
171,84407
172,94756
173,91905
174,99281
175,115613
176,111622
177,93363
178,85647
179,87065
180,71854
181,62718
182,51312
183,47030
184,64608
185,63025
186,50502
187,64048
188,51470
189,47284
190,50610
191,46995
192,51438
193,56036
194,51623
195,64259
196,56812
197,59186
198,56148
199,61126
200,47738
201,55629
202,46856
203,52736
204,46395
205,55796
206,54093
207,47909
208,59846
209,49589
210,53025
211,64858
212,58916
213,50610
214,44942
215,59173
216,59734
217,55568
218,63966
219,49795
220,55875
221,66240
222,54085
223,44531
224,59051
225,50499
226,45789
227,50224
228,45380
229,65441
230,59316
231,43359
232,50747
233,51121
234,54829
235,44610
236,61688
237,60709
238,52214
239,57144
240,58077
241,49573
242,45152
243,58309
244,45088
245,
246,62061
247,64421
248,
249,54429
250,39267
251,58374
252,
253,55883
254,51953
255,56614
256,133213
257,128358
258,111107
259,116698
260,102941
261,94019
262,
263,
264,
265,
266,58218
267,48547
268,56313
269,
270,58736
271,57572
272,41186
273,60204
274,52172
275,43669
276,66242
277,52919
278,47343
279,66834
280,48143
281,46835
282,58179
283,57309
284,49862
285,55031
286,57768
287,52025
288,54002
289,59811
290,48996
291,50384
292,42418
293,66580
294,
295,44015
296,
297,42234
298,74712
299,
