seq,rtt_us
0,56897
1,60502
2,61047
3,53581
4,62461
5,68074
6,78155
7,48323
8,56571
9,67840
10,180630
11,129742
12,36470
13,63213
14,68756
15,52043
16,73717
17,69575
18,79444
19,49454
20,69081
21,62998
22,72343
23,218762
24,119064
25,165931
26,215321
27,115510
28,153334
29,222038
30,265474
31,165762
32,238456
33,138863
34,328532
35,352502
36,252541
37,153433
38,126674
39,71025
40,64332
41,79234
42,73656
43,104545
44,69966
45,92882
46,54706
47,53173
48,82404
49,51656
50,171014
51,77038
52,95751
53,65218
54,102363
55,63828
56,225031
57,125595
58,93506
59,68680
60,63723
61,78210
62,50521
63,85091
64,53641
65,173654
66,129439
67,98767
68,67350
69,175254
70,80374
71,93315
72,69851
73,245422
74,145885
75,46373
76,75414
77,104632
78,82353
79,54689
