seq,rtt_us
0,41250
1,58679
2,41568
3,74550
4,50384
5,59500
6,47134
7,69422
8,35058
9,65204
10,48523
11,65852
12,45579
13,58464
14,57472
15,65374
16,49813
17,58863
18,41304
19,66537
20,43830
21,65517
22,49345
23,60206
24,35903
25,65432
26,48925
27,66725
28,51863
29,66471
30,50145
31,65239
32,43137
33,68804
34,35961
35,59037
36,42050
37,50286
38,49484
39,57187
40,45385
41,57187
42,69872
43,39212
44,49145
45,49030
46,49213
47,57411
48,45460
49,49350
50,50203
51,49525
52,49198
53,65374
54,41953
55,57986
56,49896
57,59445
58,40981
59,59467
60,39112
61,40558
62,50207
63,49224
64,50453
65,49144
66,57261
67,49242
68,57353
69,67302
70,40962
71,57127
72,51209
73,50876
74,57922
75,56425
76,57380
77,45007
78,48939
79,57586
80,52287
81,75752
82,49127
83,48848
84,49582
85,49867
86,50777
87,58028
88,49201
89,57416
90,57231
91,44885
92,49090
93,58419
94,57152
95,45095
96,50208
97,58477
98,49215
99,49111
100,51978
101,58171
102,65304
103,49770
104,58185
105,45558
106,57675
107,49620
108,49587
109,57302
110,61317
111,36780
112,50419
113,49982
114,49806
115,57234
116,44572
117,49066
118,49724
119,49093
120,58127
121,68261
122,55191
123,48988
124,50304
125,58592
126,52247
127,56971
128,50127
129,47171
130,49313
131,49262
132,49432
133,56332
134,51287
135,50159
136,49688
137,49173
138,57244
139,49337
140,49304
141,49341
142,57415
143,57193
144,59173
145,97347
146,63174
147,32173
148,52342
149,49680
150,51179
151,49438
152,50466
153,50022
154,50924
155,49654
156,49180
157,65515
158,47228
159,56525
160,50847
161,59342
162,43351
163,50600
164,58245
165,56433
166,58385
167,50839
168,52242
169,50619
170,51069
171,57455
172,48105
173,50378
174,50701
175,67832
176,57713
177,49430
178,51316
179,50343
180,49714
181,50319
182,50367
183,49411
184,58186
185,51119
186,49052
187,60567
188,32129
189,47207
190,52320
191,49818
192,57654
193,46300
194,58173
195,49642
196,67699
197,52698
198,50886
199,58637
200,82865
201,50281
202,65406
203,41178
204,50241
205,57936
206,45109
207,65325
208,51031
209,50445
210,66073
211,47874
212,52175
213,58160
214,57151
215,49283
216,57452
217,52499
218,40340
219,50547
220,51240
221,49536
222,51211
223,50883
224,51302
225,50479
226,50213
227,50964
228,49504
229,50114
230,58257
231,57163
232,57291
233,44921
234,50214
235,50188
236,51127
237,50701
238,51097
239,58136
240,67591
241,37153
242,41455
243,57558
244,50631
245,47539
246,59339
247,42079
248,57638
249,57417
250,46797
251,48100
252,57613
253,58480
254,45591
255,59131
256,51399
257,43475
258,57879
259,52131
260,50603
261,59006
262,53595
263,44850
264,137009
265,97275
266,57459
267,50899
268,49642
269,57320
270,51274
271,52551
272,50509
273,43323
274,51458
275,78996
276,66336
277,51983
278,50831
279,58841
280,56806
281,46418
282,66558
283,31800
284,67652
285,60195
286,46162
287,62607
288,59248
289,43373
290,60126
291,59342
292,59350
293,44135
294,50253
295,51626
296,59441
297,52507
298,52227
299,59466
