seq,rtt_us
0,69329
1,172391
2,141879
3,44758
4,166065
5,122793
6,69555
7,164197
8,111106
9,52594
10,62708
11,69995
12,52590
13,63993
14,69484
15,73547
16,70607
17,63561
18,61693
19,65676
20,69644
21,167502
22,129933
23,40774
24,166768
25,122906
26,62696
27,60910
28,62719
29,62640
30,170667
31,130863
32,62781
33,63581
34,52824
35,166734
36,122460
37,61543
38,61583
39,63296
40,61772
41,111230
42,61647
43,161879
44,119792
45,63097
46,164223
47,110610
48,62935
49,170752
50,118625
51,53672
52,170089
53,134473
54,62217
55,72894
56,54691
57,164673
58,117233
59,65693
60,63742
61,61889
62,168781
63,122662
64,73175
65,168374
66,124342
67,62671
68,61041
69,81544
70,58737
71,61797
72,61786
73,165777
74,119765
75,64079
76,173177
77,128645
78,62540
79,53695
80,70328
81,63631
82,62787
83,59449
84,67674
85,68657
86,62595
87,61685
88,168560
89,127662
90,40265
91,63349
92,68667
93,68614
94,186898
95,147305
96,55289
97,62973
98,69486
99,61758
