seq,rtt_us
0,20373362
1,20394982
2,20415760
3,20468388
4,20448523
5,20428612
6,20408697
7,20455570
8,20428653
9,20415902
10,20395994
11,20388007
12,20355032
13,20318784
14,20261662
15,20227460
16,20227527
17,20236228
18,20236371
19,20236467
20,20220661
21,20210580
22,20156723
23,20135035
24,20081641
25,20038767
26,19964410
27,16545508
28,16282553
29,16075327
30,16075511
31,15808076
32,15593135
33,15593183
34,15094010
35,15185042
36,15171721
37,15169972
38,15071887
39,15071822
40,15109468
41,15166329
42,15149603
43,15128093
44,15128188
45,15154594
46,15169855
47,15150853
48,15154905
49,15253133
50,15249602
51,15213196
52,15184807
53,15141575
54,15141484
55,15142878
56,15070902
57,15051596
58,15013695
59,15017712
60,15017863
61,15017786
62,15081784
63,15159872
64,15159986
65,15159958
66,15159981
67,15159993
68,15213979
69,15214005
70,15252963
71,15283967
72,15284055
73,15288972
74,15379871
75,15379919
76,15379946
77,15356381
78,15540949
79,15537786
80,15534192
81,15514628
82,15471906
83,15470973
84,15471083
85,15471030
86,15472226
87,15507702
88,15507675
89,15507712
90,15507747
91,15670287
92,15671702
93,15671829
94,15672053
95,15672085
96,15672050
97,15672097
98,15672256
99,15677112
100,15602875
101,15542417
102,15538035
103,15518873
104,15508954
105,15557301
106,15543933
107,15540941
108,15533450
109,15501890
110,15508594
111,15574402
112,15574453
113,15561495
114,15538822
115,18507891
116,18521909
117,15603441
118,15603532
119,15603563
120,15610773
121,18607799
122,15621464
123,15606646
124,17381852
125,15621889
126,15626898
127,19493461
128,19489063
129,15614971
130,15649332
131,15635095
132,17295649
133,15640282
134,19654708
135,17319377
136,17333630
137,17355639
138,17267441
139,19591396
140,19322607
141,17118894
142,17118744
143,17324648
144,17355586
145,19547848
146,17118607
147,17400787
148,17411843
149,19551916
150,19551936
151,17118403
152,17118439
153,19551910
154,19551866
155,17118344
156,19553828
157,19553804
158,19553780
159,17118332
160,19285539
161,19285618
162,19553565
163,19561590
164,19302072
165,19318575
166,17301014
167,17456553
168,19559585
169,17767843
170,17789855
171,19512014
172,17553506
173,17590681
174,17632094
175,17833504
176,19511556
177,19511513
178,17811339
179,17878071
180,17900302
181,17944120
182,17988019
183,17988581
184,19466369
185,18050408
186,18075291
187,18143897
188,18201650
189,18262476
190,19376183
191,18294014
192,18303180
193,19334568
194,18345111
195,18385956
196,15292390
197,15304476
198,18345285
199,15284926
200,15347052
201,15348782
202,15348682
203,15384919
204,19356223
205,18930060
206,18923506
207,15364225
208,18848971
209,15351837
210,15334778
211,18774889
212,15339309
213,15381396
214,15360424
215,18723620
216,18704148
217,15366703
218,18652658
219,18652580
220,15384854
221,15497297
222,15560834
223,15550210
224,15368488
225,15368499
226,15451215
227,15451252
228,15451052
229,15450746
230,15450749
231,15450664
232,15484053
233,15412471
234,18362606
235,15504485
236,15493931
237,15457406
238,15433849
239,18270542
240,15425386
241,18214069
242,15414630
243,15384669
244,18146804
245,18109766
246,18109531
247,15348228
248,15391076
249,15380007
250,17951229
251,17951048
252,15434427
253,15434479
254,15420720
255,15420857
256,17935423
257,15421294
258,15395060
259,15350540
260,17820041
261,15371761
262,15343855
263,15298792
264,17708140
265,17669819
266,15259395
267,17598950
268,15298112
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
