seq,rtt_us
0,119859
1,50655
2,264720
3,164738
4,112445
5,63600
6,63202
7,60971
8,66298
9,62596
10,59380
11,50937
12,52435
13,153494
14,54831
15,262165
16,162184
17,112926
18,63300
19,51750
20,51695
21,59041
22,75265
23,80718
24,61944
25,63276
26,71412
27,59725
28,53648
29,60945
30,71510
31,83537
32,68279
33,63565
34,51747
35,62281
36,59438
37,63466
38,52596
39,68073
40,69562
41,61508
42,62508
43,68739
44,52628
45,63562
46,62450
47,68958
48,62742
49,68051
50,62482
51,59800
52,63470
53,58949
54,170491
55,128156
56,61281
57,62050
58,61979
59,52733
60,142906
61,60554
62,61775
63,52686
64,59378
65,77410
66,163821
67,112539
68,70629
69,62546
70,63383
71,165009
72,118616
73,62569
74,51322
75,161115
76,61269
77,53401
78,261678
79,161690
80,122032
81,60221
82,88876
83,66651
84,61374
85,53077
86,264059
87,164484
88,143599
89,54540
90,262763
91,162769
92,136600
93,55430
94,160146
95,101529
96,51838
97,59672
98,164155
99,220198
