seq,rtt_us
0,57615
1,63664
2,53611
3,43087
4,61156
5,51556
6,46008
7,55085
8,46355
9,48678
10,46357
11,56010
12,55654
13,57296
14,47858
15,48794
16,48292
17,48735
18,43623
19,58889
20,56847
21,56121
22,51965
23,46960
24,52358
25,46599
26,56443
27,48023
28,41892
29,65118
30,53465
31,42950
32,74028
33,64591
34,55592
35,47636
36,65813
37,50828
38,52090
39,74896
40,59015
41,49009
42,45734
43,47957
44,46331
45,56613
46,46580
47,47055
48,47933
49,48374
50,57897
51,54598
52,48737
53,55717
54,50213
55,58610
56,61498
57,56230
58,45632
59,57606
60,58676
61,62203
62,61107
63,53704
64,45640
65,65552
66,51855
67,45513
68,65662
69,62690
70,46954
71,45912
72,46825
73,47090
74,46950
75,47064
76,47376
77,57744
78,47900
79,57117
80,56203
81,43522
82,64586
83,51321
84,39039
85,73537
86,58884
87,43640
88,64139
89,55032
90,40811
91,66294
92,55575
93,46982
94,56733
95,53553
96,48786
97,44439
98,48939
99,44198
100,57624
101,62305
102,44267
103,58639
104,46797
105,47759
106,52175
107,60149
108,66443
109,57618
110,52624
111,50512
112,54571
113,51827
114,46074
115,49335
116,46418
117,58905
118,58714
119,55728
120,47833
121,48669
122,51654
123,47983
124,129479
125,123640
126,103651
127,101488
128,103864
129,95663
130,101657
131,81660
132,61669
133,41672
134,55544
135,44936
136,48565
137,46401
138,47855
139,48107
140,55649
141,59967
142,62531
143,42546
144,61459
145,49157
146,40011
147,58564
148,49676
149,52334
150,43602
151,45310
152,45522
153,65112
154,59715
155,59713
156,40912
157,65558
158,52072
159,45328
160,58737
161,49660
162,45423
163,63652
164,57486
165,46681
166,44788
167,57555
168,46076
169,52735
170,53948
171,47624
172,56230
173,48002
174,47086
175,98496
176,85802
177,72776
178,58406
179,50727
180,53503
181,55205
182,47058
183,46875
184,51505
185,51609
186,46388
187,48454
188,51895
189,52774
190,51825
191,46133
192,54331
193,56931
194,56057
195,48849
196,47035
197,46372
198,62604
199,49720
200,44706
201,56063
202,43949
203,57544
204,46194
205,57329
206,46482
207,60359
208,62543
209,50836
210,40909
211,58253
212,47980
213,43740
214,59445
215,53322
216,53642
217,74599
218,54651
219,44227
220,56757
221,58707
222,52064
223,41415
224,59691
225,47327
226,51361
227,57694
228,62970
229,64740
230,53326
231,43323
232,63737
233,51571
234,43597
235,65352
236,48506
237,49980
238,46917
239,46102
240,45189
241,51092
242,52462
243,65427
244,57688
245,42333
246,68916
247,58602
248,45673
249,46166
250,47030
251,87073
252,85419
253,65433
254,106715
255,86716
256,66752
257,48103
258,46485
259,68413
260,65479
261,47352
262,42128
263,66990
264,58449
265,46519
266,46656
267,71562
268,57937
269,57516
270,93089
271,91879
272,71884
273,53992
274,47997
275,68698
276,54206
277,42350
278,97649
279,137124
280,117621
281,97614
282,77627
283,82572
284,62621
285,54578
286,46107
287,69710
288,72391
289,61828
290,48236
291,66322
292,58735
293,43936
294,61381
295,66706
296,57725
297,43195
298,47860
299,64071
300,58615
301,51398
302,61643
303,73895
304,62040
305,49754
306,45215
307,90046
308,70060
309,54313
310,59131
311,62609
312,65685
313,52023
314,42901
315,69151
316,59144
317,46402
318,42160
319,66081
320,57534
321,48154
322,46328
323,82847
324,80861
325,60875
326,89772
327,70807
328,62229
329,47827
330,47633
331,85168
332,65176
333,58735
334,61700
335,64962
336,55313
337,41477
338,97690
339,165549
340,145745
341,125754
342,105752
343,85761
344,65874
345,50200
346,45406
347,86033
348,66036
349,48249
350,62628
351,71456
352,68607
353,49712
354,73706
355,67899
356,63442
357,50319
358,44785
359,70485
360,64453
361,51139
362,45022
363,79213
364,70787
365,55546
366,47441
367,66911
368,59590
369,45568
370,60998
371,71733
372,60423
373,53464
374,76639
375,81416
376,68655
377,57727
378,44554
379,76682
380,66555
381,55296
382,43359
383,78801
384,101537
385,81548
386,61608
387,69583
388,64151
389,51400
390,45150
391,66754
392,64650
393,51647
394,47756
395,75823
396,63786
397,49595
398,42215
399,82597
