seq,rtt_us
0,1456903
1,987421
2,987632
3,987579
4,984177
5,983900
6,1462439
7,1461601
8,1461074
9,1461141
10,1461124
11,1461119
12,1461026
13,1460811
14,1461466
15,1461533
16,1461505
17,1461591
18,1461553
19,1459927
20,1459867
21,1460837
22,1460750
23,1459954
24,1459948
25,1460337
26,1459889
27,1291717
28,1290435
29,1289322
30,1289243
31,1289147
32,1293053
33,1596141
34,1260588
35,1260428
36,1260859
37,1260903
38,1253734
39,1316407
40,1512250
41,1413495
42,1413703
43,1413976
44,1414046
45,1414256
46,1211217
47,1210834
48,1210795
49,1210789
50,1007105
51,1007192
52,1008957
53,1008800
54,1008816
55,1008787
56,1008715
57,1008896
58,1005435
59,1005660
60,1005682
61,773670
62,773532
63,773548
64,773460
65,773646
66,773642
67,773915
68,531174
69,531071
70,530942
71,531228
72,532761
73,530483
74,530253
75,525915
76,272379
77,271826
78,271943
79,271505
80,272177
81,272018
82,229333
83,389442
84,193722
85,194102
86,193554
87,193819
88,194141
89,192938
90,193005
91,193621
92,193676
93,193656
94,193777
95,193825
96,194132
97,194154
98,194452
99,193291
100,192950
101,191674
102,190591
103,190543
104,190593
105,190364
106,190389
107,190389
108,190420
109,190678
110,190685
111,192352
112,192599
113,192483
114,192502
115,192539
116,192717
117,192670
118,192771
119,194162
120,194126
121,193827
122,193781
123,193808
124,193769
125,193777
126,193896
127,193856
128,193901
129,193906
130,194060
131,193626
132,204242
133,200483
134,362873
135,186155
136,185557
137,185425
138,185373
139,185088
140,185085
141,185183
142,185092
143,185191
144,185202
145,185478
146,185497
147,184998
148,185016
149,185084
150,184983
151,185046
152,184350
153,182849
154,183055
155,184200
156,184178
157,184226
158,184190
159,184188
160,184163
161,184141
162,184116
163,184131
164,183985
165,184227
166,184210
167,184252
168,185575
169,185669
170,185808
171,185791
172,185845
173,185676
174,184936
175,184896
176,184925
177,184887
178,184924
179,184871
180,183704
181,183664
182,184953
183,184895
184,184841
185,184078
186,184007
187,183156
188,183350
189,183295
190,183413
191,183381
192,183204
193,183218
194,183256
195,183272
196,175997
197,178969
198,178926
199,219861
200,73026
201,51733
202,74070
203,559152
204,61857
205,1414208
206,84434
207,76134
208,1222065
209,1370515
210,71059
211,252466
212,617874
213,1325443
214,77104
215,328260
216,334562
217,328139
218,62406
219,637025
220,1168189
221,386860
222,1155465
223,1149565
224,368155
225,1235429
226,1231265
227,1224885
228,1218562
229,997292
230,405611
231,78015
232,944241
233,939240
234,932972
235,926144
236,3674156
237,912960
238,905913
239,1145509
240,1138996
241,2414960
242,3814967
243,2464121
244,4379350
245,2645836
246,1841798
247,1092376
248,1084965
249,1078619
250,1857103
251,1869124
252,2645452
253,2158646
254,3613649
255,2463399
256,2649402
257,2699413
258,797245
259,1011143
260,1004947
261,3796589
262,4017174
263,4311535
264,4080738
265,971272
266,4116109
267,4202416
268,5445447
269,4519006
270,4542254
271,787487
272,4657424
273,4923528
274,5576858
275,5693162
276,6753024
277,171235
278,14392963
279,6793249
280,5816443
281,15004591
282,6813272
283,6964927
284,171060
285,15275172
286,5878043
287,15455578
288,5942808
289,6913729
290,969967
291,5942754
292,13735664
293,15813047
294,16452523
295,16510795
296,5996113
297,16590611
298,16814436
299,16872699
300,969524
301,969479
302,16991675
303,5995803
304,16991751
305,17061559
306,17061455
307,17117002
308,17189860
309,6053831
310,249902
311,6053806
312,17189708
313,17242676
314,17648051
315,17705352
316,17242488
317,965779
318,6362936
319,17705128
320,17757672
321,17312342
322,17757636
323,17757758
324,17312308
325,6362664
326,17782378
327,968372
328,6455650
329,6455698
330,17829148
331,1031800
332,17829150
333,6455762
334,17360375
335,17930515
336,17360269
337,17930482
338,6513670
339,17930572
340,17930559
341,17411405
342,1126785
343,17932101
344,17932365
345,17932259
346,17469945
347,18020441
348,18020502
349,1131223
350,18027508
351,6632888
352,18027467
353,6632928
354,18073507
355,17469579
356,18073585
357,1203293
358,1343121
359,18073444
360,18073451
361,17524816
362,18073388
363,1342453
364,18112849
365,17520826
366,18112807
367,17576563
368,18028097
369,18027782
370,17496005
371,18051219
372,1352034
373,1351982
374,1166385
375,1216252
376,17228683
377,17718066
378,
379,17701814
380,
381,1225419
382,
383,17678647
384,
385,17664234
386,17656963
387,1314628
388,1305821
389,1339025
390,17639784
391,
392,
393,1356463
394,1347271
395,1397734
396,1390169
397,
398,
399,
400,1354752
401,
402,1334447
403,
404,
405,
406,1341233
407,1405121
408,1395428
409,
410,
411,
412,
413,
414,
415,
416,
417,1345227
418,1368963
419,
420,
421,
422,
423,1355207
424,1352409
425,1455405
426,
427,1367010
428,1396965
429,1451166
430,
431,
432,
433,
434,
435,1426430
436,1446343
437,
438,
439,
440,1490336
441,
442,
443,1758623
444,1766607
445,1816862
446,1806837
447,
448,
449,1941706
450,1821571
451,
452,
453,
454,
455,
456,
457,1818088
458,1811220
459,1854854
460,1853606
461,
462,
463,
464,1871356
465,1901123
466,1921468
467,
468,
469,
470,
471,
472,1869632
473,1906928
474,1984793
475,
476,2011160
477,
478,
479,1982564
480,1984535
481,
482,
483,2004929
484,2040427
485,2096158
486,2115036
487,2158484
488,
489,
490,2155921
491,2159110
492,
493,2199342
494,2209298
495,2267238
496,2273344
497,2388529
498,2332496
499,2422536
500,2429588
501,2414725
502,2578188
503,2873235
504,3068820
505,3133092
506,3218129
507,3579814
508,
509,
510,
511,
512,
513,3578510
514,
515,
516,
517,
518,
519,
520,3790006
521,
522,
523,
524,
525,3595061
526,
527,
528,
529,
530,3600161
531,3607258
532,3327798
533,3367649
534,
535,
536,3311981
537,3307419
538,3291962
539,3313168
540,3297277
541,
542,3309382
543,3257545
544,
545,3224724
546,3528764
547,3478185
548,3462722
549,
550,3129408
551,3095884
552,3255515
553,3242781
554,3368382
555,3072874
556,
557,3064745
558,9667451
559,9702757
560,9743605
561,9835670
562,9895810
563,9942853
564,
565,
566,9955183
567,10000296
568,10049881
569,10181191
570,10288701
571,10457468
572,
573,10704347
574,
575,11113040
576,11171615
577,11248062
578,11324036
579,
580,11450908
581,11463485
582,11507648
