seq,rtt_us
0,78136
1,74044
2,54770
3,48701
4,63525
5,55491
6,69616
7,53564
8,66165
9,46384
10,64220
11,46697
12,89429
13,66058
14,52105
15,81956
16,64164
17,81907
18,128709
19,100578
20,72461
21,53718
22,76595
23,60821
24,61898
25,44901
26,68967
27,62438
28,98698
29,77357
30,59155
31,55974
32,56844
33,66319
34,47646
35,67190
36,47778
37,65521
38,69258
39,72037
40,56545
41,48758
42,73571
43,50472
44,85908
45,64131
46,46181
47,67118
48,46463
49,68120
50,61518
51,72827
52,78052
53,70954
54,48200
55,44248
56,63034
57,66286
58,50274
59,74506
60,66237
61,83500
62,358770
63,160539
64,355390
65,105809
66,524148
67,506217
68,51988
69,73005
70,81271
71,391916
72,65602
73,308243
74,50326
75,92067
76,69080
77,220503
78,78102
79,362078
80,247024
81,79702
82,276357
83,446455
84,479873
85,389421
86,75309
87,65954
88,104708
89,76819
90,308448
91,67027
92,267658
93,65478
94,131631
95,181935
96,83552
97,107879
98,95946
99,213843
100,71858
101,67543
102,66368
103,55160
104,79363
105,89571
106,136877
107,54040
108,62898
109,66354
110,84597
111,78862
112,67243
113,78225
114,73311
115,51560
116,55951
117,67586
118,75372
119,64098
120,85030
121,66839
122,119303
123,102412
124,74146
125,59845
126,78817
127,72501
128,71967
129,55017
130,62471
131,96631
132,73788
133,68814
134,62465
135,65007
136,76634
137,64469
138,79267
139,61160
140,74003
141,77229
142,191523
143,52903
144,63732
145,45275
146,71946
147,74686
148,63485
149,93575
150,67936
151,123379
152,73623
153,70019
154,67631
155,107031
156,77925
157,121268
158,92741
159,69492
160,102106
161,73563
162,129188
163,100419
164,89506
165,74652
166,102532
167,90392
168,72458
169,102488
170,83412
171,60737
172,67442
173,51397
174,79698
175,121391
176,74532
177,120692
178,100338
179,73782
180,107032
181,231036
182,74297
183,91981
184,63497
185,118787
186,156486
187,155757
188,135148
189,149264
190,170069
191,141720
192,123176
193,155941
194,208053
195,179311
196,146202
197,213627
198,139084
199,156969
200,83826
201,141542
202,87492
203,160231
204,143318
205,194133
206,213298
207,240781
208,272302
209,277573
210,299331
211,220481
212,291607
213,191189
214,324019
215,221996
216,221216
217,238329
218,252540
219,223992
220,266609
221,296050
222,570890
223,542421
224,571826
225,621110
226,670175
227,846985
228,818484
229,931483
230,902951
231,927951
232,899441
233,676474
234,689138
235,670997
236,682141
237,664109
238,621308
239,610059
240,610061
241,610167
242,662832
243,667513
244,667501
245,689884
246,689821
247,689980
248,749745
249,772135
250,747959
251,722431
252,693915
253,665537
254,579408
255,579370
256,619261
257,608983
258,580706
259,552341
260,779792
261,496721
262,722801
263,694504
264,790304
265,456473
266,366794
267,704590
268,676032
269,404529
270,313654
271,590316
272,561746
273,290331
274,504579
275,476036
276,447462
277,418882
278,390272
279,8851767
280,8883060
281,8919603
282,9149286
283,8922299
284,8959209
285,9000290
286,9101353
287,9148968
288,9184899
289,9237999
290,9271604
291,9308707
292,9369689
293,9409494
294,9446278
295,9474810
296,9514273
297,9545886
298,9586273
299,9627517
