seq,rtt_us
0,78253
1,66536
2,78965
3,143281
4,103336
5,63339
6,80282
7,82275
8,72504
9,47716
10,79521
11,71209
12,84770
13,64671
14,74437
15,48137
16,67130
17,94093
18,74967
19,47723
20,79622
21,73702
22,66222
23,72049
24,66203
25,80237
26,66270
27,76412
28,66213
29,65594
30,67242
31,66895
32,64218
33,72249
34,78732
35,49845
36,64631
37,70943
38,64362
39,66811
40,70129
41,69731
42,85026
43,76412
44,54846
45,76281
46,54048
47,67308
48,69113
49,56668
50,63184
51,67525
52,57565
53,63057
54,67715
55,70997
56,53369
57,71241
58,63299
59,64408
60,63495
61,77452
62,57875
63,64779
64,66700
65,63602
66,62757
67,76729
68,48030
69,61055
70,56326
71,71425
72,57525
73,55626
74,69756
75,67134
76,58869
77,64453
78,68314
79,76306
80,71121
81,64724
82,71237
83,69206
84,79984
85,58488
86,66807
87,68652
88,67913
89,61436
90,70880
91,71370
92,55664
93,71509
94,61810
95,67036
96,58303
97,73795
98,58678
99,64842
100,68338
101,70435
102,86123
103,64431
104,73459
105,65373
106,65406
107,76332
108,63403
109,74253
110,61310
111,83229
112,58958
113,74489
114,65129
115,68742
116,60194
117,64251
118,63703
119,70436
120,74515
121,60776
122,71315
123,71996
124,70828
125,57148
126,66829
127,67450
128,69995
129,61636
130,63698
131,63708
132,75945
133,60150
134,65761
135,68486
136,71831
137,63316
138,72322
139,75385
140,48057
141,64153
142,66116
143,71427
144,69231
145,60774
146,67446
147,110058
148,86135
149,63988
150,90699
151,67912
152,64744
153,63353
154,68473
155,121450
156,98237
157,76658
158,61398
159,73496
160,65653
161,75010
162,74755
163,74767
164,59923
165,70568
166,77610
167,70187
168,65119
169,74118
170,65138
171,75301
172,68012
173,88291
174,63196
175,81800
176,57263
177,72106
178,85588
179,64861
180,67037
181,79058
182,52882
183,64237
184,86259
185,63219
186,63856
187,74814
188,63078
189,82242
190,65407
191,72924
192,63175
193,78439
194,63805
195,81963
196,57141
197,68422
198,70906
199,87284
200,57703
201,74633
202,56679
203,79624
204,65524
205,76326
206,61029
207,72384
208,60152
209,74874
210,68868
211,64351
212,75593
213,64351
214,69295
215,60208
216,70904
217,58663
218,69657
219,59660
220,66604
221,64870
222,64710
223,73187
224,72702
225,64161
226,75061
227,58521
228,71484
229,65612
230,76498
231,70820
232,57068
233,68586
234,84871
235,59051
236,69805
237,73548
238,75933
239,56645
240,78468
241,63622
242,68061
243,71603
244,69376
245,58886
246,68803
247,117856
248,77851
249,59278
250,76418
251,58465
252,72498
253,69038
254,68743
255,71662
256,59754
257,69617
258,85995
259,59587
260,67285
261,68304
262,75249
263,63421
264,72458
265,60440
266,71552
267,61956
268,67735
269,61974
270,69277
271,73315
272,60361
273,76446
274,65617
275,67200
276,76455
277,49879
278,68150
279,63895
280,70139
281,56922
282,64602
283,78076
284,57321
285,71454
286,69100
287,60336
288,73649
289,54278
290,69745
291,60270
292,70918
293,61011
294,90351
295,71679
296,62062
297,81209
298,58311
299,69579
