seq,rtt_us
0,44223
1,58939
2,63137
3,46458
4,47117
5,58446
6,65740
7,53101
8,47055
9,58133
10,59912
11,58268
12,59865
13,65839
14,65641
15,48264
16,59853
17,60717
18,58691
19,59473
20,57474
21,66045
22,37516
23,56481
24,64550
25,54168
26,50830
27,67737
28,58640
29,60635
30,51968
31,59250
32,57663
33,57635
34,59779
35,58913
36,65846
37,38213
38,50046
39,58741
40,67862
41,70088
42,38023
43,66933
44,56315
45,66853
46,65969
47,55042
48,47199
49,74412
50,58961
51,58989
52,58870
53,58088
54,58436
55,58127
56,52587
57,57868
58,65771
59,59450
60,58853
61,65018
62,46984
63,68707
64,66009
65,51250
66,59054
67,58856
68,66864
69,59643
70,66835
71,55191
72,58875
73,58937
74,75269
75,57264
76,66072
77,46987
78,53615
79,66282
80,58895
81,57426
82,65991
83,52833
84,59292
85,59882
86,57302
87,44726
88,57513
89,64941
90,45588
91,48332
92,68931
93,42867
94,51252
95,57876
96,44960
97,64496
98,58786
99,66276
100,44171
101,63190
102,59850
103,58865
104,67513
105,58727
106,59679
107,59196
108,65837
109,74784
110,47226
111,75713
112,46509
113,46868
114,58861
115,62423
116,60214
117,70674
118,48317
119,53888
120,44839
121,57728
122,61885
123,53171
124,77482
125,58977
126,65532
127,47906
128,52144
129,59921
130,57277
131,59081
132,77493
133,68050
134,66113
135,44711
136,59967
137,66680
138,59356
139,59161
140,58705
141,58796
142,82633
143,50859
144,46835
145,66787
146,58858
147,59423
148,59559
149,58773
150,66697
151,57003
152,66965
153,45338
154,59936
155,75343
156,50137
157,48314
158,58192
159,57849
160,74860
161,40886
162,54875
163,45470
164,59475
165,60351
166,45649
167,47156
168,65405
169,65897
170,59636
171,59586
172,60040
173,65944
174,59758
175,63473
176,58826
177,58901
178,75609
179,56333
180,61508
181,56298
182,57311
183,74888
184,55019
185,59783
186,69824
187,39908
188,61113
189,62533
190,59734
191,72651
192,64526
193,49563
194,65899
195,64845
196,47377
197,47230
198,73808
199,38386
200,56903
201,58036
202,57430
203,60959
204,61071
205,57487
206,43503
207,60963
208,60857
209,61021
210,59104
211,66866
212,59243
213,61036
214,67351
215,45573
216,53284
217,46273
218,67436
219,47099
220,68237
221,53553
222,51207
223,58873
224,59942
225,62398
226,59741
227,63413
228,46343
229,55524
230,46727
231,48042
232,66987
233,74971
234,44960
235,55616
236,70732
237,37696
238,57300
239,58121
240,80469
241,58339
242,59042
243,58876
244,70676
245,65539
246,48651
247,65531
248,67934
249,59825
