seq,rtt_us
0,59741
1,55366
2,236933
3,55355
4,57821
5,526493
6,265729
7,455788
8,71301
9,60817
10,361456
11,105142
12,482546
13,60553
14,453428
15,36868
16,38200
17,99807
18,105493
19,246493
20,478003
21,369050
22,650142
23,38064
24,437025
25,439725
26,100178
27,484159
28,534432
29,653274
30,47153
31,651880
32,65028
33,218007
34,192340
35,78025
36,564754
37,557842
38,556392
39,78386
40,70224
41,226913
42,78541
43,92911
44,139902
45,119396
46,257929
47,270069
48,71117
49,240567
50,236736
51,94114
52,79806
53,76461
54,134415
55,101269
56,87583
57,70406
58,210876
59,702077
60,542017
61,168629
62,584068
63,192946
64,771626
65,771779
66,773096
67,773152
68,711571
69,310030
70,246474
71,668852
72,669921
73,807806
74,791633
75,63745
76,726981
77,88421
78,116041
79,84347
80,471517
81,116991
82,110964
83,441486
84,98525
85,136523
86,133823
87,301322
88,315415
89,270051
90,270141
91,466229
92,265707
93,259292
94,214822
95,311741
96,153400
97,130420
98,134235
99,133181
100,143524
101,93748
102,413869
103,199809
104,208626
105,283645
106,284217
107,156277
108,116143
109,103628
110,140853
111,160857
112,142713
113,167511
114,133391
115,126004
116,127189
117,158802
118,136534
119,153425
120,141163
121,172381
122,161852
123,152159
124,133518
125,148084
126,132509
127,128205
128,130251
129,152071
130,141718
131,137245
132,122082
133,180462
134,161471
135,163463
136,149536
137,143763
138,173320
139,151763
140,133835
141,126292
142,136129
143,169980
144,144419
145,133838
146,119983
147,122835
148,162191
149,131697
150,136643
151,114269
152,115575
153,153621
154,138278
155,131386
156,129458
157,130615
158,153557
159,189713
160,166404
161,173346
162,191571
163,185502
164,186190
165,228410
166,196213
167,217100
168,233605
169,197201
170,231265
171,253067
172,230188
173,139755
174,144092
175,139867
176,125576
177,159210
178,153644
179,153943
180,119321
181,97716
182,121288
183,107653
184,102895
185,97894
186,112220
187,85712
188,91975
189,80078
190,81384
191,68707
192,88082
193,92680
194,118223
195,100609
196,122827
197,99027
198,98483
199,101904
200,108959
201,134956
202,136134
203,105666
204,107343
205,107697
206,112888
207,278552
208,101307
209,95439
210,357626
211,100576
212,144653
213,112117
214,115214
215,368131
216,319271
217,540395
218,516673
219,270644
220,352396
221,418205
222,325856
223,80474
224,86063
225,151152
226,135632
227,233833
228,212041
229,225197
230,275114
231,268457
232,270144
233,329532
234,386460
235,327500
236,327516
237,592788
238,380248
239,332174
240,396593
241,352150
242,399803
243,354704
244,436883
245,409876
246,409818
247,443874
248,486097
249,421883
250,416404
251,392498
252,424852
253,428081
254,445806
255,447638
256,459751
257,510256
258,455613
259,452376
260,545827
261,526964
262,554693
263,524138
264,550032
265,599238
266,603031
267,603035
268,544360
269,656479
270,628061
271,587863
272,663113
273,723861
274,593773
275,705363
276,725775
277,782284
278,747877
279,829053
280,692867
281,787055
282,740777
283,683421
284,764409
285,748052
286,684047
287,686578
288,759715
289,750567
290,688975
291,675566
292,626819
293,628918
294,629818
295,622649
296,838495
297,605336
298,822185
299,762657
300,762539
301,719910
302,542775
303,656502
304,505489
305,1274483
306,1313589
307,1329767
308,1358101
309,1403371
310,1708386
311,1399850
312,1847817
313,1444204
314,2160585
315,1474965
316,2167088
317,2308301
318,2335153
319,1452781
320,2399781
321,2383305
322,1532272
323,2565582
324,1625665
325,2330617
326,1624886
327,1656582
328,1696025
329,1748246
330,2361041
331,1807005
332,1847115
333,1881691
334,1941169
335,1882050
336,1988055
337,1972622
338,1917951
339,1969568
340,1955120
341,1931371
342,1960244
343,1938369
344,1953900
345,1943325
346,1994101
347,1939646
348,1989099
349,1987357
350,1973879
351,1964372
352,1984790
353,1970548
354,1929508
355,1981815
356,1965413
357,1926727
358,1965957
359,1896198
360,1919833
361,1923555
362,1870718
363,1855831
364,1821149
365,1843817
366,1796845
367,1750102
368,1747669
369,1811222
370,1744058
371,1791283
372,1744365
373,1741779
374,1738038
375,1792887
376,1731339
377,1683781
378,1671100
379,1627547
380,1669348
381,1641484
382,1609415
383,1576071
384,1518631
385,1504913
386,1465380
387,1450515
388,1416785
389,1403255
390,1387298
391,1406751
392,1346425
393,1332340
394,1286431
395,1246589
396,1231416
397,1213253
398,1176358
399,1142856
