seq,rtt_us
0,51417
1,45186
2,63065
3,52378
4,43699
5,67861
6,59940
7,44891
8,50076
9,60916
10,46663
11,44747
12,62010
13,43536
14,57355
15,44983
16,62572
17,52675
18,46235
19,53762
20,46148
21,56253
22,53851
23,45442
24,45570
25,45505
26,54660
27,61685
28,53747
29,52822
30,53090
31,53074
32,62065
33,55799
34,47738
35,44711
36,62634
37,52777
38,37659
39,51952
40,47102
41,52866
42,44821
43,53363
44,46902
45,45567
46,60073
47,48321
48,56464
49,43180
50,45733
51,44819
52,67291
53,78726
54,58859
55,45649
56,45748
57,50173
58,44683
59,52038
60,59730
61,55637
62,53617
63,61114
64,52737
65,45294
66,60953
67,48879
68,45568
69,59719
70,47727
71,45517
72,45565
73,62592
74,52759
75,45485
76,59457
77,56754
78,71364
79,51367
80,49878
81,55520
82,62730
83,54624
84,45148
85,51853
86,45992
87,45090
88,43831
89,51767
90,54888
91,65070
92,45091
93,59423
94,59350
95,54308
96,45207
97,44538
98,45115
99,42337
100,52404
101,46635
102,56769
103,48711
104,44047
105,52925
106,52640
107,45736
108,68308
109,59892
110,46220
111,66964
112,74087
113,54094
114,67033
115,48115
116,53583
117,44639
118,60162
119,46591
120,47961
121,45518
122,53680
123,62937
124,52667
125,37465
126,59766
127,46107
128,54796
129,62948
130,54425
131,38593
132,52758
133,57172
134,47919
135,45965
136,51497
137,52851
138,47061
139,56669
140,45906
141,45565
142,51722
143,52967
144,56312
145,56779
146,54464
147,45532
148,53787
149,76739
150,58394
151,43873
152,52095
153,46289
154,53623
155,46387
156,54952
157,52689
158,63754
159,53185
160,37977
161,53571
162,47050
163,58774
164,52167
165,42813
166,53252
167,46027
168,53815
169,55769
170,51398
171,62917
172,53934
173,64175
174,53429
175,39734
176,69903
177,56518
178,53873
179,65802
180,52403
181,54015
182,63920
183,51028
184,39592
185,52060
186,57013
187,42980
188,51763
189,46603
190,47612
191,44999
192,61433
193,51081
194,45663
195,65908
196,64789
197,68221
198,58835
199,51593
200,53015
201,50659
202,47200
203,45216
204,52256
205,45201
206,43230
207,60914
208,60153
209,44551
210,52216
211,46399
212,54534
213,46645
214,53582
215,61040
216,51402
217,44311
218,58480
219,49012
220,43283
221,63117
222,52535
223,37677
224,52322
225,57555
226,55392
227,52127
228,45794
229,45467
230,44801
231,68291
232,64081
233,48870
234,50490
235,43710
236,78689
237,59884
238,39881
239,53573
240,55848
241,53708
242,45603
243,53731
244,64105
245,51045
246,37196
247,52935
248,46786
249,53786
250,46021
251,46465
252,65446
253,45448
254,46286
255,44614
256,46285
257,49458
258,58876
259,56693
260,44896
261,44367
262,43431
263,52447
264,46713
265,53254
266,43900
267,54719
268,46847
269,56757
270,53858
271,46031
272,69008
273,61461
274,46554
275,69441
276,59758
277,42097
278,62453
279,52896
280,47077
281,44817
282,51762
283,65708
284,59501
285,39506
286,51682
287,56114
288,45650
289,62810
290,51226
291,38760
292,53179
293,45813
294,46514
295,52622
296,45516
297,54675
298,45446
299,44722
300,44974
301,62955
302,60806
303,40828
304,63514
305,62083
306,42100
307,51985
308,53532
309,67786
310,53847
311,45184
312,59431
313,62054
314,60995
315,41019
316,52043
317,46701
318,46867
319,44853
320,54371
321,61066
322,53882
323,46209
324,64262
325,46144
326,53384
327,44048
328,54681
329,43774
330,63128
331,51886
332,38968
333,54432
334,56781
335,46292
336,47078
337,45538
338,45565
339,45582
340,54783
341,53555
342,52548
343,69060
344,65589
345,45620
346,52728
347,59607
348,50426
349,46928
350,51449
351,57776
352,47552
353,48919
354,45516
355,68858
356,58264
357,50093
358,43495
359,43831
360,60867
361,46820
362,47612
363,46290
364,46223
365,61924
366,53854
367,35880
368,61010
369,44763
370,61644
371,48234
372,44792
373,45514
374,45127
375,53720
376,59871
377,44426
378,53107
379,46558
380,43355
381,50508
382,51101
383,55541
384,55383
385,54787
386,59267
387,45436
388,44675
389,44797
390,69035
391,52578
392,47156
393,68144
394,60974
395,40975
396,61036
397,46519
398,56101
399,41883
