seq,rtt_us
0,7447
1,7314
2,8393
3,7275
4,6966
5,7954
6,7644
7,15218
8,15092
9,14643
10,14598
11,14183
12,14241
13,16013
14,13534
15,13264
16,13360
17,12221
18,12231
19,11835
20,12560
21,11565
22,11004
23,10510
24,10204
25,10765
26,9723
27,9248
28,9374
29,8799
30,8893
31,8650
32,7461
33,7989
34,7662
35,7404
36,6956
37,7015
38,15437
39,15606
40,15384
41,15003
42,14602
43,14221
44,14305
45,13603
46,13495
47,15209
48,12835
49,12464
50,12085
51,12728
52,11675
53,12354
54,10777
55,10896
56,9981
57,10136
58,9564
59,9586
60,9029
61,8872
62,8333
63,8490
64,7692
65,7530
66,7591
67,7214
68,6937
69,7139
70,15695
71,15560
72,15033
73,15035
74,14595
75,14394
76,15072
77,13357
78,13746
79,13098
80,12651
81,12409
82,13386
83,11509
84,11475
85,11525
86,13101
87,10421
88,10067
89,10079
90,9424
91,9217
92,8842
93,8406
94,10034
95,8076
96,7478
97,8224
98,7657
99,9059
100,6909
101,6698
102,6678
103,16005
104,15075
105,14610
106,14628
107,14242
108,14261
109,13880
110,13449
111,13332
112,12755
113,12456
114,12177
115,11822
116,11461
117,11075
118,10837
119,10430
120,10237
121,10183
122,9587
123,9506
124,8980
125,8634
126,8785
127,8049
128,7408
129,7877
130,9845
131,8826
132,8061
133,6911
134,7872
135,15136
136,16149
137,15166
138,14631
139,14802
140,14321
141,13761
142,14187
143,14392
144,13161
145,12492
146,12289
147,12905
148,12087
149,12449
150,10740
151,11130
152,11184
153,11136
154,9567
155,9277
156,8828
157,9044
158,8333
159,8200
160,7531
161,7791
162,7612
163,7488
164,6877
165,6655
166,7707
167,15214
168,14954
169,14896
170,14404
171,15481
172,14124
173,14254
174,14938
175,13163
176,12638
177,13239
178,12523
179,13219
180,11422
181,11318
182,10799
183,10495
184,10153
185,10146
186,9599
187,9358
188,9753
189,8783
190,8264
191,9050
192,8371
193,7704
194,8769
195,9774
196,9223
197,7782
198,6957
199,15859
200,15520
201,15025
202,15196
203,15269
204,14797
205,13849
206,13363
207,13800
208,14646
209,12252
210,12533
211,12202
212,11753
213,11922
214,11293
215,11743
216,10958
217,9971
218,9557
219,9266
220,9096
221,9140
222,8611
223,8692
224,7394
225,8561
226,8346
227,7909
228,8216
229,7162
230,7216
231,15396
232,15704
233,15258
234,14864
235,14759
236,14572
237,13663
238,13673
239,13386
240,12842
241,12614
242,13386
243,11612
244,11264
245,11553
246,12040
247,11968
248,10674
249,10400
250,10331
251,9817
252,9105
253,8949
254,8506
255,8382
256,8036
257,8183
258,7086
259,7571
260,6833
261,6969
262,6707
263,15404
264,15857
265,15249
266,14905
267,14407
268,14195
269,14463
270,13779
271,13153
272,12851
273,12631
274,12977
275,10392
276,10423
277,10181
278,9711
279,9512
280,9054
281,8847
282,8708
283,8631
284,7773
285,8084
286,7629
287,7609
288,7227
289,6162
290,6814
291,15231
292,15158
293,15082
294,14624
295,14465
296,14152
297,13669
298,14374
299,13043
300,12813
301,12369
302,12243
303,11822
304,11630
305,11237
306,11000
307,10682
308,10395
309,10167
310,9527
311,9451
312,9394
313,8621
314,8549
315,8407
316,7613
317,7245
318,7604
319,7326
320,13124
321,6185
322,15598
323,15119
324,15252
325,14920
326,14794
327,26419
328,15194
329,9175
330,12648
331,13011
332,12625
333,12241
334,13101
335,12073
336,11697
337,11072
338,10848
339,10540
340,10405
341,10068
342,9738
343,9398
344,8925
345,9453
346,8053
347,7904
348,7633
349,8134
350,6825
351,8752
352,6268
353,5837
354,6437
355,15192
356,14800
357,14627
358,14387
359,13965
360,14126
361,13769
362,13036
363,13017
364,12719
365,12232
366,11814
367,11628
368,11509
369,11247
370,10816
371,10572
372,10135
373,10169
374,9438
375,9440
376,8999
377,8786
378,8361
379,7878
380,7614
381,8266
382,8267
383,8886
384,6350
385,8229
386,6620
387,15212
388,14755
389,14540
390,14585
391,14261
392,14089
