seq,rtt_us
0,10368
1,10340
2,9737
3,9545
4,9235
5,8873
6,8914
7,8169
8,7914
9,7678
10,7636
11,7902
12,7246
13,6297
14,6293
15,5684
16,5516
17,5075
18,15358
19,4900
20,14231
21,13660
22,13472
23,13165
24,12809
25,12965
26,12196
27,11849
28,11532
29,11491
30,11426
31,11211
32,10226
33,10210
34,9646
35,9374
36,9242
37,8757
38,8860
39,8143
40,17598
41,7681
42,7480
43,7007
44,7100
45,6379
46,6205
47,5754
48,5407
49,5328
50,15200
51,4856
52,14202
53,13624
54,13494
55,13416
56,12852
57,12813
58,12220
59,12011
60,11556
61,11596
62,11058
63,11149
64,10195
65,10141
66,9807
67,9528
68,9213
69,8886
70,8907
71,8326
72,8026
73,7574
74,7471
75,7095
76,7141
77,6242
78,6141
79,5654
80,5368
81,5115
82,15141
83,5070
84,14953
85,14023
86,14326
87,13325
88,13011
89,12906
90,12264
91,11986
92,11535
93,11376
94,11162
95,11298
96,10285
97,10276
98,9584
99,9446
100,9486
101,8834
102,12749
103,8189
104,7988
105,7625
106,7503
107,7109
108,6814
109,6587
110,6374
111,5587
112,5425
113,5153
114,4814
115,5063
116,14285
117,13725
118,13469
119,13257
120,12822
121,12932
122,12351
123,11944
124,11553
125,11550
126,11096
127,10937
128,10330
129,10121
130,9627
131,9394
132,9265
133,8956
134,9190
135,8169
136,7912
137,7562
138,7390
139,7051
140,6910
141,6323
142,6300
143,5622
144,5470
145,15026
146,4814
147,5085
148,14246
149,13663
150,13407
151,13074
152,12786
153,12939
154,12291
155,12668
156,12062
157,11491
158,11029
159,10892
160,10303
161,10279
162,9752
163,9548
164,9292
165,8912
166,8939
167,8230
168,8074
169,7645
170,7498
171,7022
172,6949
173,6428
174,6333
175,5788
176,5524
177,5264
178,4888
179,14337
180,14125
181,14082
182,14540
183,15209
184,12900
185,12737
186,12184
187,11941
188,11652
189,11475
190,11019
191,10901
192,10363
193,10104
194,9677
195,9504
196,9168
197,8811
198,8808
199,8330
200,7974
201,7554
202,7439
203,7025
204,6899
205,6395
206,6257
207,5777
208,5529
209,5273
210,4900
211,4857
212,14229
213,13713
214,13665
215,13318
216,12824
217,12623
218,12261
219,12022
220,11598
221,11516
222,11210
223,10854
224,10435
225,10250
226,9694
227,9448
228,9219
229,8961
230,8768
231,8260
232,7968
233,7624
234,7532
235,7011
236,7024
237,6289
238,6118
239,5666
240,5488
241,5248
242,4790
243,4899
244,14136
245,13695
246,13468
247,13134
248,12801
249,12707
250,12317
251,12040
252,11581
253,11393
254,10926
255,10869
256,10258
257,10230
258,9647
259,9557
260,9307
261,8875
262,8777
263,8254
264,7983
265,7445
266,7390
267,6964
268,6816
269,6441
270,6090
271,5721
272,5400
273,5163
274,4851
275,4982
276,14174
277,13735
278,13459
279,13151
280,12844
281,12719
282,12331
283,11961
284,11482
285,11430
286,11011
287,10976
288,10464
289,10147
290,10073
291,9384
292,9189
293,8842
294,8733
295,8291
296,7938
297,7581
298,7874
299,6950
300,6863
301,6360
302,6258
303,5619
304,5416
305,5181
306,4868
307,14408
308,14123
309,13787
310,14474
311,13165
312,12884
313,13005
314,12218
315,12047
316,11571
317,11363
318,10968
319,10910
320,10347
321,10157
322,9710
323,9477
324,9259
325,8907
326,8794
327,8319
328,7997
329,7515
330,7410
331,6938
332,6875
333,6519
334,6113
335,5642
336,5379
337,5142
338,4787
339,4827
340,14453
341,13693
342,13417
343,13088
344,12865
345,12978
346,12172
347,12347
348,11555
349,11417
350,11054
351,10849
352,10262
353,10278
354,9660
355,9359
356,9090
357,8794
358,8646
359,8351
360,8059
361,7643
362,7388
363,7004
364,6816
365,6434
366,6109
367,5623
368,5431
369,5093
370,4904
371,4888
372,14156
373,13803
374,13474
375,13177
376,12810
377,12762
378,12266
379,12046
380,11606
381,11366
382,10924
383,10628
384,10776
385,10096
386,9665
387,9386
388,9127
389,8787
390,8759
391,8474
392,7978
393,7574
394,7352
395,6948
396,6671
397,6376
398,6241
399,5664
400,5466
401,5176
402,4834
403,4921
404,14211
405,13710
406,13491
407,13114
408,12863
409,12801
410,12358
411,11921
412,11789
413,11536
414,11053
415,10663
416,10238
417,10064
418,9722
419,9464
420,9291
421,8757
422,8766
423,8193
424,7952
425,7690
426,7385
427,7007
428,6706
429,6248
430,6142
431,5730
432,5414
433,5111
434,4772
435,4895
436,14096
437,13673
438,13473
439,13322
440,12907
441,12740
442,12179
443,12177
444,11633
445,11402
446,10998
447,10634
448,10288
449,10246
450,9672
451,9449
452,9093
453,8838
454,8683
455,8191
456,7863
457,7639
458,7355
459,7139
460,6671
461,6366
462,6245
463,5665
464,5433
465,5155
466,4825
467,5042
468,14194
469,13673
470,13431
471,13212
472,12735
473,12691
474,12198
475,11999
476,11549
477,11390
478,10923
479,10742
480,10384
481,10130
482,9587
483,9410
484,9133
485,8781
486,8904
487,8151
488,7922
489,7561
490,7366
491,6889
492,6687
493,6441
494,6169
495,5581
496,5423
497,5206
498,4812
499,4821
500,14113
501,13701
502,13422
503,13264
504,12736
505,12759
506,12324
507,11893
508,11552
509,11546
510,11034
511,11066
512,10345
513,10198
514,9668
515,9468
516,9246
517,8803
518,8660
519,8229
520,8121
521,7624
522,7380
523,7077
524,6797
525,6331
526,6153
527,5711
528,5649
529,5108
530,5202
531,15381
532,14160
533,14849
534,13118
535,13174
536,13642
537,12669
538,12353
539,11999
540,11617
541,11553
542,11310
543,10816
544,10335
545,10236
546,9806
547,9582
548,9328
549,8864
550,8752
551,8219
552,7896
553,7658
554,7387
555,6973
556,6699
557,6301
558,6190
559,5772
560,5528
561,5310
562,4894
563,5041
564,14274
565,16099
566,13557
567,13298
568,13288
569,14380
570,12395
571,12075
572,11667
573,11551
574,11119
575,10948
576,10440
577,10272
578,9696
579,9964
580,9234
581,9114
582,28385
583,8392
584,8134
585,7727
586,7619
587,7117
588,7085
589,6432
590,8405
591,5717
592,5566
593,5335
594,4853
595,5080
596,14215
597,13651
598,13388
599,13222
600,12967
601,12792
602,12284
603,11976
604,11634
605,11472
606,11113
607,10878
608,10324
609,10256
610,9994
611,9691
612,9394
613,9020
614,8901
615,8240
616,8039
617,7692
618,7509
619,7057
620,6844
621,6340
622,8201
623,5699
624,5604
625,5285
626,4856
627,4939
628,14298
629,13718
630,13478
631,13568
632,12917
633,12901
634,12274
635,12040
636,11687
637,11620
638,11030
639,11457
640,10366
641,10432
642,9850
643,9581
644,9341
645,8829
646,8765
647,8286
648,9405
649,9293
650,7584
651,7045
652,15617
653,20579
654,11917
655,14324
656,11689
657,16318
658,14529
659,
660,14581
661,8865
662,7143
663,10415
664,7197
665,6282
666,5748
667,5543
668,5257
669,4968
670,33351
671,12740
672,22117
673,12171
674,13735
675,12850
676,15412
677,10547
678,12034
679,11727
680,11483
681,11339
682,10786
683,10424
684,20226
685,9425
686,9288
687,9384
688,9020
689,8524
690,8307
691,7977
692,7666
693,7440
694,7064
695,6763
696,6367
697,6256
698,5687
699,5635
700,5135
701,4873
702,14363
703,14314
704,14114
705,13449
706,13166
707,12898
708,12558
709,12367
710,12027
711,11713
712,11457
713,11265
714,11044
715,10369
716,10494
717,9788
718,9576
719,9069
720,8876
721,8520
722,8267
723,8302
724,7779
725,7499
726,7148
727,6879
728,6369
729,6232
730,6320
731,5457
732,5159
733,4900
734,14414
735,14509
736,13833
737,13522
738,13164
739,12852
740,12544
741,12352
742,12036
743,11672
744,11443
745,11023
746,10969
747,10302
748,10191
749,9683
750,12646
751,9438
752,8896
753,8585
754,8247
755,7924
756,7674
757,7423
758,7097
759,7032
760,6402
761,6142
762,5703
763,5471
764,5113
765,4822
766,14264
767,14184
768,13800
769,13418
770,13177
771,12844
772,12476
773,12281
774,11935
775,11667
776,11364
777,11069
778,10732
779,10442
780,10123
781,9695
782,9399
783,9234
784,8951
785,8523
786,8196
787,7992
788,7658
789,7445
790,7133
791,6889
792,6341
793,6155
794,5851
795,5435
796,5215
797,4851
798,14326
799,14186
800,13682
801,13462
802,13129
803,12880
804,12616
805,12267
806,11986
807,11646
808,11493
809,11164
810,10939
811,10358
812,10243
813,9844
814,9499
815,9192
816,8908
817,8670
818,8389
819,8157
820,7784
821,7500
822,7282
823,7140
824,6467
825,6202
826,5747
827,5452
828,5138
829,4991
830,14466
831,14159
832,13838
833,13571
834,13110
835,12949
836,12492
837,12341
838,11959
839,11659
840,11523
841,11253
842,11072
843,10316
844,10244
845,9821
846,9616
847,9193
848,9030
849,8617
850,8314
851,8012
852,7708
853,7443
854,7134
855,7042
856,6605
857,6228
858,5708
859,5552
860,5239
861,4869
862,14349
863,14166
864,13769
865,13519
866,13179
867,12959
868,12518
869,12327
870,12155
871,11756
872,11533
873,11147
874,11118
875,10456
876,10354
877,9801
878,9583
879,9294
880,8969
881,8589
882,8398
883,8113
884,7800
885,7612
886,7161
887,6834
888,6459
889,6455
890,5925
891,5533
892,5193
893,5004
894,14429
895,14318
896,13892
897,13580
898,13295
899,13022
900,12592
901,12390
902,12153
903,11789
904,11584
905,11134
906,10796
907,10360
908,10308
909,9890
910,9610
911,9365
912,9043
913,8616
914,8447
915,8119
916,7789
917,7525
918,7127
919,6954
920,6647
921,6447
922,5917
923,5601
924,5290
925,5153
926,14603
927,14298
928,13815
929,13489
930,13219
931,12927
932,12719
933,12327
934,12104
935,11731
936,11507
937,11108
938,10726
939,10466
940,10420
941,9705
942,9437
943,9208
944,8863
945,8627
946,8366
947,8123
948,7734
949,7443
950,7154
951,6795
952,6473
953,6346
954,5783
955,5486
956,5107
957,4969
958,14510
959,14355
960,13823
961,13590
962,13201
963,13043
964,12626
965,12339
966,12601
967,11806
968,11574
969,11194
970,10797
971,10433
972,10331
973,9799
974,9604
975,9175
976,8951
977,8506
978,8341
979,8054
980,7817
981,7533
982,7329
983,6804
984,6515
985,6441
986,5838
987,5569
988,5267
989,4944
990,14488
991,14457
992,13942
993,13561
994,13129
995,13098
996,12544
997,12328
998,12053
999,11647
1000,11431
1001,11122
1002,10777
1003,10355
1004,10331
1005,9775
1006,9532
1007,9110
1008,8970
1009,8602
1010,8383
1011,8151
1012,7793
1013,7463
1014,7057
1015,7128
1016,6522
1017,6459
1018,5893
1019,5634
1020,5252
1021,4950
1022,14502
1023,14436
1024,13771
1025,13537
1026,13134
1027,13017
1028,12676
1029,12368
1030,12058
1031,11733
1032,11431
1033,11103
1034,10753
1035,10961
1036,10411
1037,9814
1038,9543
1039,9203
1040,8968
1041,8662
1042,8409
1043,8136
1044,7771
1045,7446
1046,7115
1047,6847
1048,6447
1049,6388
1050,5845
1051,5518
1052,5252
1053,5011
1054,14520
1055,14391
1056,13833
1057,13536
1058,13270
1059,12964
1060,12654
1061,12315
1062,12091
1063,11766
1064,11545
1065,11114
1066,10901
1067,10501
1068,10364
1069,9822
1070,9617
1071,9224
1072,9027
1073,8592
1074,8348
1075,8033
1076,7738
1077,7486
1078,7170
1079,6758
1080,6482
1081,6339
1082,5918
1083,5629
1084,5255
1085,4959
1086,14437
1087,14292
1088,23823
1089,13604
1090,13169
1091,12992
1092,12578
1093,12381
1094,12086
1095,11732
1096,11583
1097,11181
1098,10933
1099,10523
1100,10507
1101,9775
1102,9643
1103,9248
1104,8958
1105,8681
1106,8350
1107,8106
1108,7758
1109,7562
1110,7119
1111,6753
1112,6421
1113,6344
1114,5800
1115,5625
1116,5379
1117,4965
1118,14498
1119,14396
1120,13858
1121,13585
1122,17087
1123,13001
1124,12605
1125,12485
1126,12206
1127,11797
1128,13035
1129,11319
1130,10844
1131,10395
1132,10239
1133,9809
1134,9616
1135,9277
1136,9441
1137,8649
1138,8355
1139,8040
1140,7774
1141,7508
1142,7207
1143,6904
1144,6531
1145,6309
1146,5873
1147,5597
1148,5443
1149,4987
1150,14380
1151,14306
1152,13791
1153,13538
1154,13230
1155,12873
1156,12584
1157,12433
1158,12042
1159,11770
1160,11642
1161,11279
1162,10759
1163,10325
1164,10445
1165,9780
1166,9493
1167,9605
1168,8910
1169,8539
1170,8535
1171,8074
1172,7778
1173,7482
1174,7513
1175,6790
1176,6218
1177,6190
1178,5974
1179,5448
1180,5151
1181,14602
1182,14689
1183,14892
1184,12553
1185,13570
1186,13153
1187,12910
1188,12675
1189,12387
1190,12301
1191,11815
1192,11542
1193,11280
1194,10847
1195,10521
1196,10344
1197,10117
1198,9623
1199,9583
1200,18870
1201,8482
1202,8503
1203,9224
1204,7768
1205,8391
1206,7912
1207,6849
1208,6407
1209,6470
1210,5898
1211,5600
1212,5285
1213,4909
1214,14495
1215,14109
1216,13918
1217,13582
1218,13161
1219,13097
1220,12732
1221,12441
1222,12104
1223,11767
1224,11497
1225,11267
1226,10886
1227,10542
1228,10242
1229,9910
1230,9700
1231,9793
1232,9034
1233,8602
1234,8323
1235,13823
1236,7672
1237,7539
1238,7235
1239,6775
1240,6476
1241,6301
1242,5869
1243,5535
1244,5240
1245,5060
1246,14530
1247,14265
1248,13789
1249,13686
1250,13388
1251,13008
1252,12668
1253,12420
1254,12032
1255,11740
1256,11559
1257,11423
1258,10761
1259,10103
1260,10391
1261,9898
1262,9563
1263,9306
1264,8984
1265,8546
1266,8380
1267,8086
1268,7819
1269,7471
1270,7203
1271,6959
1272,6417
1273,6258
1274,5871
1275,5565
1276,5294
1277,5031
1278,14423
1279,14474
1280,13830
1281,13666
1282,13164
1283,12933
1284,12611
1285,12308
1286,12111
1287,11798
1288,11703
1289,11467
1290,10837
1291,10512
1292,10332
1293,9920
1294,9678
1295,9164
1296,8898
1297,8529
1298,8372
1299,8191
1300,7711
1301,7736
1302,7247
1303,6856
1304,6497
1305,6343
1306,5720
1307,5654
1308,5184
1309,5042
1310,14579
1311,14237
1312,14228
1313,13984
1314,13269
1315,13124
1316,12725
1317,12404
1318,12091
1319,11813
1320,11548
1321,11811
1322,10828
1323,10516
1324,10261
1325,9992
1326,20775
1327,8999
1328,9019
1329,8850
1330,8452
1331,8293
1332,7807
1333,17462
1334,7334
1335,6999
1336,6533
1337,6317
1338,5916
1339,5810
1340,5479
1341,14589
1342,14431
1343,14465
1344,13911
1345,13948
1346,13210
1347,13473
1348,12825
1349,12515
1350,12198
1351,11781
1352,11554
1353,11254
1354,10851
1355,10480
1356,10300
1357,9931
1358,10039
1359,9616
1360,9031
1361,8687
1362,8593
1363,8383
1364,7821
1365,7554
1366,7193
1367,6783
1368,6460
1369,6522
1370,5844
1371,5621
1372,5292
1373,4985
1374,14459
1375,14227
1376,13809
1377,13572
1378,13823
1379,13071
1380,11928
1381,11186
1382,11067
1383,10642
1384,10281
1385,9774
1386,9583
1387,19261
1388,9074
1389,8781
1390,8488
1391,7973
1392,7786
1393,7445
1394,7175
1395,6982
1396,6532
1397,6336
1398,5825
1399,5611
1400,5303
1401,5213
1402,14741
1403,14823
1404,13879
1405,13598
1406,13393
1407,12964
1408,12757
1409,12532
1410,12526
1411,11842
1412,11327
1413,11348
1414,10867
1415,10471
1416,10482
1417,10042
1418,9564
1419,9320
1420,9051
1421,9914
1422,10614
1423,8038
1424,7798
1425,7464
1426,7167
1427,6913
1428,6571
1429,6419
1430,5989
1431,5698
1432,5325
1433,5062
1434,14521
1435,14572
1436,13968
1437,13665
1438,13524
1439,13046
1440,12851
1441,12507
1442,12036
1443,11825
1444,11761
1445,11467
1446,10855
1447,10595
1448,10335
1449,9921
1450,9632
1451,9348
1452,8998
1453,8586
1454,8463
1455,8100
1456,7856
1457,7598
1458,7212
1459,6916
1460,6520
1461,16149
1462,5851
1463,5934
1464,5402
1465,5264
1466,15025
1467,14634
1468,13984
1469,13670
1470,13318
1471,12984
1472,12638
1473,13743
1474,12026
1475,11769
1476,15038
1477,11269
1478,9690
1479,9404
1480,9083
1481,8770
1482,8443
1483,8157
1484,7859
1485,7937
1486,7560
1487,6898
1488,6908
1489,6210
1490,5905
1491,5524
1492,5386
1493,4995
1494,14512
1495,14766
1496,13911
1497,13545
1498,13234
1499,13193
1500,12666
1501,12636
1502,11973
1503,11808
1504,11937
1505,11330
1506,11144
1507,10598
1508,10256
1509,9984
1510,9592
1511,9350
1512,9062
1513,8844
1514,8516
1515,8174
1516,8130
1517,7425
1518,7254
1519,6925
1520,6716
1521,6321
1522,5948
1523,5619
1524,5378
1525,5390
1526,14502
1527,14250
1528,13955
1529,13568
1530,13279
1531,13146
1532,12699
1533,12520
1534,12030
1535,11842
1536,11561
1537,17661
1538,21205
1539,10523
1540,10292
1541,10119
1542,9495
1543,9322
1544,9099
1545,8711
1546,8567
1547,7993
1548,7850
1549,7421
1550,7213
1551,6928
1552,6551
1553,6420
1554,5928
1555,5459
1556,5365
1557,5056
1558,14525
1559,14173
1560,13892
1561,13578
1562,13379
1563,13067
1564,12860
1565,12548
1566,12084
1567,11788
1568,11441
1569,11248
